IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
PATRICIA,KOBIETA,1206
KIRA,KOBIETA,1202
HANKA,KOBIETA,1193
MARCJANNA,KOBIETA,1192
DŻESIKA,KOBIETA,1177
MAJKA,KOBIETA,1170
LIUDMILA,KOBIETA,1162
BOHDANA,KOBIETA,1152
MARITA,KOBIETA,1141
JANA,KOBIETA,1131
WIRGINIA,KOBIETA,1126
LUBA,KOBIETA,1125
SIMONA,KOBIETA,1107
ZORIANA,KOBIETA,1094
HANNAH,KOBIETA,1089
SNIZHANA,KOBIETA,1084
ANIKA,KOBIETA,1083
MIRA,KOBIETA,1080
BALBINA,KOBIETA,1075
DAJANA,KOBIETA,1059
NELIA,KOBIETA,1057
SABRINA,KOBIETA,1052
INA,KOBIETA,1047
VLADYSLAVA,KOBIETA,1046
VALENTINA,KOBIETA,1040
GABRIELLA,KOBIETA,1032
EMANUELA,KOBIETA,1030
ALIAKSANDRA,KOBIETA,1030
KUNEGUNDA,KOBIETA,1021
CARMEN,KOBIETA,1006
CAROLINE,KOBIETA,1001
SEWERYNA,KOBIETA,981
BERENIKA,KOBIETA,980
FILOMENA,KOBIETA,964
YAROSLAVA,KOBIETA,962
NIKOLETTA,KOBIETA,954
ANZHELIKA,KOBIETA,953
ELIZABETH,KOBIETA,946
ALICE,KOBIETA,946
NAOMI,KOBIETA,942
LILY,KOBIETA,940
RAMONA,KOBIETA,938
YEVA,KOBIETA,935
KORNELA,KOBIETA,930
DALIA,KOBIETA,929
EKATERINA,KOBIETA,918
ALICIA,KOBIETA,917
NELLY,KOBIETA,916
IWONNA,KOBIETA,903
ŻAKLINA,KOBIETA,899
BLANDYNA,KOBIETA,896
BENEDYKTA,KOBIETA,886
BOGDANA,KOBIETA,885
NADIYA,KOBIETA,875
LUBOMIRA,KOBIETA,870
ZLATA,KOBIETA,868
BIANCA,KOBIETA,866
IRMA,KOBIETA,864
INKA,KOBIETA,857
LIGIA,KOBIETA,856
AMALIA,KOBIETA,855
ELLA,KOBIETA,853
MICHAELA,KOBIETA,849
EMILA,KOBIETA,848
IDALIA,KOBIETA,845
LEONTYNA,KOBIETA,841
INGRID,KOBIETA,839
LYUDMYLA,KOBIETA,838
LILLY,KOBIETA,829
ARINA,KOBIETA,828
ZOIA,KOBIETA,828
GABRYELA,KOBIETA,823
SWIETŁANA,KOBIETA,821
KAYA,KOBIETA,821
JÓZEFINA,KOBIETA,820
SYBILLA,KOBIETA,819
LINA,KOBIETA,818
HANA,KOBIETA,808
MARGARITA,KOBIETA,807
VIOLETA,KOBIETA,807
ARIANA,KOBIETA,805
INGEBORGA,KOBIETA,797
SOLOMIIA,KOBIETA,777
VERANIKA,KOBIETA,776
CELESTYNA,KOBIETA,775
ABIGAIL,KOBIETA,769
CAROLINA,KOBIETA,768
GRACJANA,KOBIETA,766
ROXANA,KOBIETA,762
MARIE,KOBIETA,762
LYUBOV,KOBIETA,761
VASYLYNA,KOBIETA,755
SŁAWA,KOBIETA,735
DOMICELA,KOBIETA,731
MONICA,KOBIETA,726
CRISTINA,KOBIETA,724
ŻANETTA,KOBIETA,720
VERA,KOBIETA,719
BERNARDETA,KOBIETA,716
YANINA,KOBIETA,714
TEKLA,KOBIETA,713
VARVARA,KOBIETA,711
LEONIA,KOBIETA,711
KSENIYA,KOBIETA,708
MARGARETA,KOBIETA,707
MAIA,KOBIETA,703
DOBRAWA,KOBIETA,699
ZOE,KOBIETA,690
BENITA,KOBIETA,688
VALERYIA,KOBIETA,687
ELA,KOBIETA,682
DINA,KOBIETA,677
MELISA,KOBIETA,677
BERTA,KOBIETA,660
JESIKA,KOBIETA,655
KASANDRA,KOBIETA,653
MELISSA,KOBIETA,648
AKSANA,KOBIETA,645
EVELINA,KOBIETA,639
VIKTORIYA,KOBIETA,638
ORIANA,KOBIETA,635
KARIN,KOBIETA,635
CLARA,KOBIETA,632
MAIIA,KOBIETA,630
EUNIKA,KOBIETA,628
PALINA,KOBIETA,628
DOBROCHNA,KOBIETA,627
ALESIA,KOBIETA,627
DANA,KOBIETA,623
DAGNA,KOBIETA,621
JESSIKA,KOBIETA,621
LISA,KOBIETA,618
FATIMA,KOBIETA,615
ADELINA,KOBIETA,613
TAISIIA,KOBIETA,605
GIULIA,KOBIETA,602
SOFIYA,KOBIETA,602
LARISA,KOBIETA,602
NATHALIE,KOBIETA,601
SILVIA,KOBIETA,598
JASMINA,KOBIETA,595
LIZAVETA,KOBIETA,595
SELENA,KOBIETA,586
